id,name,price,category,description,image,recommended,collection,specifications,faqs,varieties,tags,sku,stock,weight,meta_title,meta_description,instagram_url
customized-8-photo-frame,Customized 8 Photo Frame,129,Frame,A beautiful handcrafted customized 8 photo frame.,/Products/Customized-8-Photo-Frame/image.png,FALSE,frame,Color: Black lMaterial: Wooden lProduct Length: 9 inch lProduct Breadth: 0.5 inch lProduct Height: 13 inch lWeight: 0.3 kg lType: Digital Photo Frame lGeneric Name: Photo Frames lNet Quantity (N): 1 lCountry of Origin: India lVariant / Selection Text lStyle: Customized 8–12 Photo Birthday Collage Frame l,,,frames,customized-8-photo-frame,-1,0,Customized 8 Photo Frame,A beautiful handcrafted customized 8 photo frame.,
collage-3d-cutout-frame,Custom Collage 3D Cutout Frame,139,Frame,A beautiful handcrafted collage 3d cutout frame.,/Products/Collage-3D-Cutout-Frame/image.png,FALSE,frame,Color: Black lMaterial: Handicraft lProduct Length: 10 inch lProduct Breadth: 0.5 inch lProduct Height: 12 inch lWeight: 0.3 kg lType: Digital Photo Frame lGeneric Name: Photo Frames lNet Quantity (N): 1 lCountry of Origin: India l ,,,frames,collage-3d-cutout-frame,-1,0,Collage 3D Cutout Frame,A beautiful handcrafted collage 3d cutout frame.,
trendy-cutout-5-photo-frame,Trendy Cutout 5 Photo Frame,149,Frame,A beautiful handcrafted trendy cutout 5 photo frame.,/Products/Trendy-Cutout-5-Photo-Frame/image.png,FALSE,frame,Color: Black lMaterial: Wooden lProduct Length: 9 inch lProduct Breadth: 0.5 inch lProduct Height: 12 inch lWeight: 0.2 kg lType: Digital Photo Frame lGeneric Name: Photo Frames lNet Quantity (N): 1 lCountry of Origin: India l,,,frames,trendy-cutout-5-photo-frame,-1,0,Trendy Cutout 5 Photo Frame,A beautiful handcrafted trendy cutout 5 photo frame.,
pixelated-frame,Retro Pixel Custom Frame 4x4,149,Frame,"A blocky, 8-bit styled custom photo frame in a compact 4x4 size. Share a photo with us during checkout and watch us transform it into beautiful, physical pixel art!",/Products/Pixel-Frame-4x4/Frame4x4.png,TRUE,pixelated,Color: White | Product Length: 8 Inch | Product Breadth: 0.5 Inch | Product Height: 12 Inch | Weight: 100 g | Material: Plastic | Type: Digital Photo Frame | Generic Name: Photo Frames | Country of Origin: India | Net Quantity (N): 1,"How do I send my photo? | After checkout, you will be redirected to WhatsApp. Send your high-res photo to us directly in the chat, and we will send you a digital mockup for approval before printing!",,,,,,pixelated-frame,-1,0,Retro Pixel Custom Frame 4x4,"A blocky, 8-bit styled custom photo frame in a compact 4x4 size.",
pixel-frame-4x4-stand,Retro Pixel Custom Frame 4x4 with Stand,169,Frame,"A blocky, 8-bit styled custom photo frame in a compact 4x4 size, complete with a plastic stand for tabletop display. Share a photo with us during checkout and watch us transform it into beautiful, physical pixel art!",/Products/Pixel-Frame-4x4-Stand/image.png,FALSE,pixelated,Color: White | Product Length: 8 Inch | Product Breadth: 0.5 Inch | Product Height: 12 Inch | Weight: 100 g | Material: Plastic | Type: Digital Photo Frame | Generic Name: Photo Frames | Country of Origin: India | Net Quantity (N): 1,"How do I send my photo? | After checkout, you will be redirected to WhatsApp. Send your high-res photo to us directly in the chat, and we will send you a digital mockup for approval before printing!",,,,,,pixel-frame-4x4-stand,-1,0,Retro Pixel Custom Frame 4x4 with Stand,"A blocky, 8-bit styled custom photo frame in a compact 4x4 size, complete with a plastic stand for tabletop display.",
101-why-i-love-you,101 Why I Love You,159,Hamper,A beautiful handcrafted 101 why i love you.,/Products/101-Why-I-Love-You/image1.png,FALSE,hamper,"Type: Message Jar / Love Note Gift /Theme: 101 Reasons Why I Love You /Color: White, Red & Gold /Style: Romantic / Cute / Keepsake Gift /Best For: Anniversary, birthday, Valentine’s Day, surprise gifts /Packaging: Decorative jar with ribbon /Net Quantity (N): 1 /",,,gifts,101-why-i-love-you,-1,0,101 Why I Love You,A beautiful handcrafted 101 why i love you.,
diy-pearl-necklace-set,DIY Pearl Necklace Set,189,Hamper,A beautiful handcrafted diy pearl necklace set.,/Products/DIY-Pearl-Necklace-Set/image.png,FALSE,hamper,"Type: Necklace Gift Kit / Pearl Reveal Gift Box lIncludes: Pearl reveal kit + necklace pendant + gift box lTheme: Wish Pearl / Love Pearl lColor: Purple gift box with silver-toned necklace lStyle: Romantic / Surprise / Keepsake Gift lBest For: Birthday, anniversary, Valentine’s Day, proposal gift, surprise gift lNet Quantity (N): 1 Gift Set l",,,gifts,DIY-pearl-necklace-set,-1,0,DIY Pearl Necklace Set,A beautiful handcrafted diy pearl necklace set.,
crochet-sunflower-keychain,Crochet Sunflower Keychain,99,Keychain,A beautiful handcrafted crochet sunflower keychain.,/Products/Crochet-Sunflower-Keychain/image.jpg | /Products/Crochet-Sunflower-Keychain/image 2.avif,FALSE,keychain,"Color: Yellow, Brown, Green, White lMaterial: Crochet Yarn, Faux Pearls, Metal Ring lType: Handmade Keychain lStyle: Floral / Cute / Aesthetic lClosure Type: Key Ring with Hook lProduct Length: Approx. 4–5 inch lNet Quantity (N): 1 lGeneric Name: Crochet Keychain lCountry of Origin: India l",,,keychains,crochet-sunflower-keychain,-1,0,Crochet Sunflower Keychain,A beautiful handcrafted crochet sunflower keychain.,
double-side-qr-keychain,Double-Sided Scan Me QR Code Keychain,99,Keychain,"A dual-sided custom keychain featuring your Instagram/Facebook page or payment UPI QR code on one side, and a custom design or text on the other. Extremely handy for creators and business owners!",/Products/Double-side-qr-keychain/Front.png | /Products/Double-side-qr-keychain/Back.png,FALSE,keychain,Material: Dual-Layer Acrylic | Thickness: 3 mm | Length: 2.2 Inch | Breadth: 2.2 Inch | Origin: India,How do you create the QR code? | We automatically generate a high-quality QR code using the link or UPI ID you provide. We recommend verifying the link before checkout!,,,,,,,,
plushie-keychain,Cute Handcrafted Jellyfish Plushie Keychain,99,Keychain,"An incredibly soft, hand-stitched mini plushie keychain. Choose your favorite animal buddy and add a personalized custom label tag!",/Products/Plushie-keychain/Plushie_keychain.png,FALSE,keychain,"Color: Pink / Blue / Material: Crochet Yarn, Metal Ring /Type: Keychain /Style: Handmade / Cute Aesthetic /Product Length: Approx. 2–3 inch /Net Quantity (N): 1 Pair / 2 Pieces /Generic Name: Crochet Keychain /Country of Origin: India /Variant / Selection Text /Choose your color combo /Pink + Blue Pair /","Is it washable? | Yes, we recommend gentle hand washing with mild soap to maintain the softness of the plush fabric.",,,,,,,,
